description,product_url,source,product_name,image_url,category,price,colors,brand,material,timestamp,id
Drop-Shoulder Sleeves Pure Cotton T-shirt,https://www.myntra.com/tshirts/mango/mango-drop-shoulder-sleeves-pure-cotton-t-shirt/31842183/buy,myntra.com,MANGO Tshirts,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2024/DECEMBER/13/JBfnmNFX_bdf9082b330f420c92eb4c28dc9911af.jpg",Tshirts,₹623,[],MANGO,Pure Cotton,1739500100.134949,03kpzVZ69gm2D7RlybHM
Men Spread Collar Self Design Casual Bomber Jacket,https://www.myntra.com/jackets/stylecast+x+revolte/stylecast-x-revolte-men-spread-collar-self-design-casual-bomber-jacket/31426384/buy,myntra.com,StyleCast x Revolte Jackets,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2024/OCTOBER/26/7bVABZJL_71ec12eca4794eadaee638b808749e2e.jpg",Jackets,₹1477,[],StyleCast x Revolte,Wool,1739500450.748175,0G3R5orMQtesusysHVyo
Women Black Veronica Skinny Fit High-Rise Slash Knee Stretchable Jeans,https://www.myntra.com/jeans/flying+machine/flying-machine-women-black-veronica-skinny-fit-high-rise-slash-knee-stretchable-jeans/14030738/buy,myntra.com,Flying Machine Jeans,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/14030738/2021/5/17/1cdac6b3-c755-47cd-88d1-f8b7ada62dca1621254721436WomensCottonPolyLycraSkinnyFitBlackJeans1.jpg",Jeans,₹1299,[],Flying Machine,,1739501278.425498,0GuM3K94ZKISAbj2PhKX
Women Longline Open Front Jacket,https://www.myntra.com/jackets/stylecast+x+revolte/stylecast-x-revolte-women-longline-open-front-jacket/31055114/buy,myntra.com,StyleCast x Revolte Jackets,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2024/SEPTEMBER/20/nANufnD7_c28da022b28a4ea3a02dac793d6466d1.jpg",Jackets,₹1249,[],StyleCast x Revolte,Polyester,1739500518.624392,0NjzrsCxtcQEUlt6Nzjk
Men Wide Leg Low-Rise Light Fade Stretchable Jeans,https://www.myntra.com/jeans/jack+%26+jones/jack--jones-men-wide-leg-low-rise-light-fade-stretchable-jeans/32680028/buy,myntra.com,Jack & Jones Jeans,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2025/FEBRUARY/7/G2dMxRTf_34d2e2fda42a474b8c9f50f794d2de72.jpg",Jeans,₹ 5999,[],Jack & Jones,,1739501098.782465,0a2ivjpNmsBf45F0mMra
Women Black Solid Fringed Hem Denim Jacket,https://www.myntra.com/jackets/sassafras/sassafras-women-black-solid-fringed-hem-denim-jacket/12221916/buy,myntra.com,SASSAFRAS Jackets,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/12221916/2020/8/12/46057709-75bf-4465-9da0-0fd96e4c76391597221845119-SASSAFRAS-Women-Black-Solid-Denim-Jacket-5011597221842833-1.jpg",Jackets,₹809,[],SASSAFRAS,Unlined,1739500636.33461,0fj74YXUIO7UyUXnW3Mn
Men Slim Fit Stretchable Casual Jeans,https://www.myntra.com/jeans/mr+bowerbird/mr-bowerbird-men-slim-fit-stretchable-casual-jeans/21185858/buy,myntra.com,Mr Bowerbird Jeans,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/21185858/2023/10/5/386b14cf-d7ff-4379-8427-20f446aeabb51696490477987-Mr-Bowerbird-Men-Jeans-2411696490477467-1.jpg",Jeans,₹1349,[],Mr Bowerbird,,1739501104.904158,0k5VzA8Jii0HKZudChNU
Boys Blue Solid Slim Fit Stretchable Jeans,https://www.myntra.com/jeans/urbano+juniors/urbano-juniors-boys-blue-solid-slim-fit-stretchable-jeans/20634630/buy,myntra.com,Urbano Juniors Jeans,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/20634630/2022/11/29/b3251b81-3e42-43f7-ade6-81e8488534211669710889972-Urbano-Juniors-Boys-Light-Blue-Slim-Fit-Washed-Denim-Jeans-S-1.jpg",Jeans,₹699,[],Urbano Juniors,,1739501180.508318,0muomGL3g9GAbsHl7Kkf
Pima Long Sleeves Crew Neck Tshirt,https://www.myntra.com/tshirts/creatures+of+habit/creatures-of-habit-pima-long-sleeves-crew-neck-tshirt/30564799/buy,myntra.com,Creatures of Habit Tshirts,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2024/AUGUST/12/79HYOGU1_f0d3638c7fa2467eb517686357537846.jpg",Tshirts,₹ 1999,[],Creatures of Habit,Organic Cotton,1739500037.49689,0orsBb3ppmI1SgsnFcWL
Women Lightweight Yoga Sporty Jacket,https://www.myntra.com/jackets/stylecast/stylecast-women-lightweight-yoga-sporty-jacket/31014392/buy,myntra.com,StyleCast Jackets,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2024/SEPTEMBER/19/BMMQiPf1_f25bcac734c644138ab5f5f8cb6f6f3a.jpg",Jackets,₹899,[],StyleCast,Unlined,1739500457.444442,0vxTdL01kp7BDTlMPsbe
Boys Opaque Striped Casual Shirt,https://www.myntra.com/shirts/mark+%26+mia/mark--mia-boys-opaque-striped-casual-shirt/32521812/buy,myntra.com,Mark & Mia Shirts,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2025/JANUARY/27/V6vXabAg_7da3dea967c541b3ba476a2729a5d756.jpg",Shirts,₹653,[],Mark & Mia,,1739499394.13961,13eri82qRSRRkGKtrGIo
The Lifestyle Co. Women Cuban Collar Vertical Striped Cotton Boxy Casual Shirt,https://www.myntra.com/shirts/roadster/the-roadster-lifestyle-co-women-cuban-collar-vertical-striped-cotton-boxy-casual-shirt/31012271/buy,myntra.com,Roadster Shirts,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2024/SEPTEMBER/17/4j0E1s3p_55f7c70b17db41bd9884527778e6cd33.jpg",Shirts,₹699,[],Roadster,,1739499214.205853,15wVzkvrrlMtSn1ACJzD
Men Striped Casual Shirt,https://www.myntra.com/shirts/mast+%26+harbour/mast--harbour-men-striped-casual-shirt/26769820/buy,myntra.com,Mast & Harbour Shirts,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/26769820/2024/3/21/f3c7bfe2-2c8e-4a40-8633-efe2bf5b392c1711007528540-Mast--Harbour-Men-Opaque-Casual-Shirt-6981711007527917-1.jpg",Shirts,₹639,[],Mast & Harbour,,1739499387.810607,1Fxe8DOTI0a6QDffEruG
Men Flat Front Slim Fit Formal Trousers,https://www.myntra.com/trousers/raymond/raymond-men-flat-front-slim-fit-formal-trousers/22898954/buy,myntra.com,Raymond Trousers,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/22898954/2024/11/13/7a4fbcd2-5045-40d4-b3a2-1242bb3ba1831731498774655-Raymond-Men-Flat-Front-Slim-Fit-Formal-Trousers-378173149877-1.jpg",Trousers,₹1484,[],Raymond,,1739500747.315498,1IewYIrVtmDyjdPUeULr
Round Neck Short Sleeves Oversized Cotton T-shirt,https://www.myntra.com/tshirts/nobero/nobero-round-neck-short-sleeves-oversized-cotton-t-shirt/26710886/buy,myntra.com,NOBERO Tshirts,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/26710886/2024/5/21/838d9f5a-bd71-44ca-9ac6-84a3018833a11716265915566-NOBERO-Round-Neck-Short-Sleeves-Oversized-Cotton-T-shirt-628-7.jpg",Tshirts,₹ 599,[],NOBERO,Cotton,1739500031.463568,1NfXCVEVf1k8LmBsxAOJ
Men Velem Regular Fit Floral Printed Shirt,https://www.myntra.com/shirts/rare+rabbit/rare-rabbit-men-velem-regular-fit-floral-printed-shirt/27583384/buy,myntra.com,RARE RABBIT Shirts,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/27583384/2024/3/28/16c57253-63d0-4bf9-b8d9-0b57c56a250c1711623850401-RARE-RABBIT-Men-Velem-Regular-Fit-Floral-Printed-Shirt-63517-11.jpg",Shirts,₹1679,[],RARE RABBIT,,1739499480.554452,1Ozu5cWguzOt1A0S003R
Boys Black Clean Look Stretchable Jeans,https://www.myntra.com/jeans/here%26now/herenow-boys-black-clean-look-stretchable-jeans/29401334/buy,myntra.com,HERE&NOW Jeans,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/29401334/2024/5/8/f4beaf6c-90fe-4591-8ec2-a44f882720181715156985317HERENOWBoysJoggerStretchableJeans1.jpg",Jeans,₹759,[],HERE&NOW,,1739501216.703133,1SPH4paENeWAmTU3mBlM
Men Slim Fit Mid-Rise Cotton Formal Trousers,https://www.myntra.com/trousers/jade+blue/jade-blue-men-slim-fit-mid-rise-cotton-formal-trousers/29262008/buy,myntra.com,JADE BLUE Trousers,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/29262008/2024/4/30/f3a06474-46e2-4ec7-981f-d85b78a647371714472159225JadeBlueMensSuperSlimFitSolidBlackTerryRayonFormalTrouser1.jpg",Trousers,₹2239,[],JADE BLUE,,1739500865.778995,1UdDZBb4IxHsoHEvtlfm
